,,,,,,,,,,Values,
sp,site,year,fullDate,state,hours,date,Common Name,Season,Survey,Sum of count,Sum of PreserveOfficial
Danuas gilippus,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Queen,Fall,2015 Fall,7,7
Danuas gilippus,McDowellSonoranPreserve,2016,09/17/2016,AZ,12.5,261,Queen,Fall,2016 Fall,2,2
Danuas gilippus,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Queen,Fall,2016 Fall,22,22
Danuas gilippus,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Queen,Spring,2017 Spring,13,13
Danuas gilippus,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Queen,Fall,2017 Fall,9,9
Danuas gilippus,McDowellSonoranPreserve,2018,04/07/2018,AZ,13.5,97,Queen,Spring,2018 Spring,2,1
Danuas gilippus,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Queen,Fall,2018 Fall,15,9
Erynnis funeralis,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Funereal duskywing,Fall,2014 Fall,4,4
Erynnis funeralis,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Funereal duskywing,Fall,2015 Fall,2,2
Erynnis funeralis,McDowellSonoranPreserve,2016,09/17/2016,AZ,12.5,261,Funereal duskywing,Fall,2016 Fall,7,7
Erynnis funeralis,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Funereal duskywing,Fall,2016 Fall,8,8
Erynnis funeralis,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Funereal duskywing,Fall,2017 Fall,4,4
Erynnis funeralis,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Funereal duskywing,Fall,2018 Fall,3,3
Euphilotes battoides,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Square spotted blue (Martin’s Bernardino blue),Spring,2017 Spring,22,22
Euphilotes battoides,McDowellSonoranPreserve,2018,04/07/2018,AZ,13.5,97,Square spotted blue (Martin’s Bernardino blue),Spring,2018 Spring,6,6
Euphydryas chalcedona,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Variable (Chalcedon) checkerspot,Fall,2014 Fall,2,2
Euphydryas chalcedona,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Variable (Chalcedon) checkerspot,Spring,2017 Spring,17,17
Euptoieta claudia,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Variegated fritillary,Fall,2014 Fall,1,1
Euptoieta claudia,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Variegated fritillary,Fall,2018 Fall,1,1
Eurema nicippe,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Sleepy orange,Fall,2014 Fall,236,236
Eurema nicippe,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Sleepy orange,Fall,2015 Fall,50,50
Eurema nicippe,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Sleepy orange,Fall,2016 Fall,208,208
Eurema nicippe,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Sleepy orange,Spring,2017 Spring,77,77
Eurema nicippe,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Sleepy orange,Fall,2017 Fall,33,33
Eurema nicippe,McDowellSonoranPreserve,2018,04/07/2018,AZ,13.5,97,Sleepy orange,Spring,2018 Spring,11,10
Eurema nicippe,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Sleepy orange,Fall,2018 Fall,465,426
Heliopyrgus domicella,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Erichson's white skipper,Fall,2014 Fall,5,5
Hemiargus ceraunus,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Ceraunus blue,Fall,2014 Fall,24,24
Hemiargus ceraunus,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Ceraunus blue,Fall,2015 Fall,5,5
Hemiargus ceraunus,McDowellSonoranPreserve,2016,09/17/2016,AZ,12.5,261,Ceraunus blue,Fall,2016 Fall,6,6
Hemiargus ceraunus,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Ceraunus blue,Fall,2016 Fall,37,37
Hemiargus ceraunus,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Ceraunus blue,Spring,2017 Spring,1,1
Hemiargus ceraunus,McDowellSonoranPreserve,2018,04/07/2018,AZ,13.5,97,Ceraunus blue,Spring,2018 Spring,1,1
Hemiargus ceraunus,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Ceraunus blue,Fall,2018 Fall,71,71
Hemiargus isola,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Reakirt's blue,Fall,2014 Fall,4,4
Hemiargus isola,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Reakirt's blue,Fall,2015 Fall,5,5
Hemiargus isola,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Reakirt's blue,Fall,2016 Fall,1,1
Hemiargus isola,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Reakirt's blue,Spring,2017 Spring,3,3
Hemiargus isola,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Reakirt's blue,Fall,2018 Fall,2,2
Hylephila phyleus,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Fiery skipper,Fall,2017 Fall,1,1
Junonia coenia,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Common buckeye,Fall,2014 Fall,1,1
Junonia coenia,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Common buckeye,Fall,2015 Fall,1,1
Leptotes marina,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Marine blue,Fall,2014 Fall,13,13
Leptotes marina,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Marine blue,Fall,2015 Fall,1,1
Leptotes marina,McDowellSonoranPreserve,2016,09/17/2016,AZ,12.5,261,Marine blue,Fall,2016 Fall,2,2
Leptotes marina,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Marine blue,Fall,2016 Fall,25,25
Leptotes marina,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Marine blue,Spring,2017 Spring,33,33
Leptotes marina,McDowellSonoranPreserve,2018,04/07/2018,AZ,13.5,97,Marine blue,Spring,2018 Spring,6,5
Leptotes marina,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Marine blue,Fall,2018 Fall,60,50
Lerodea eufala,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Eufala skipper,Fall,2018 Fall,1,1
Libytheana carinenta,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,American snout,Fall,2014 Fall,116,116
Libytheana carinenta,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,American snout,Fall,2015 Fall,22,22
Libytheana carinenta,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,American snout,Fall,2016 Fall,20,20
Libytheana carinenta,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,American snout,Spring,2017 Spring,49,49
Libytheana carinenta,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,American snout,Fall,2018 Fall,75,71
Microtia dymas,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Tiny checkerspot,Fall,2014 Fall,26,26
Microtia dymas,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Tiny checkerspot,Spring,2017 Spring,22,22
Microtia dymas,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Tiny checkerspot,Fall,2017 Fall,2,2
Ministrymon leda,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Leda ministreak,Fall,2018 Fall,1,1
Nathalis iole,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Dainty sulphur,Fall,2014 Fall,17,17
Nathalis iole,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Dainty sulphur,Fall,2015 Fall,1,1
Nathalis iole,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Dainty sulphur,Fall,2016 Fall,1,1
Nathalis iole,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Dainty sulphur,Spring,2017 Spring,46,46
Nathalis iole,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Dainty sulphur,Fall,2018 Fall,11,11
Nymphalis antiopa,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Mourning cloak,Spring,2017 Spring,1,1
Papilio multicaudata,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Two-tailed swallowtail,Fall,2014 Fall,1,1
Papilio multicaudata,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Two-tailed swallowtail,Fall,2016 Fall,2,2
Papilio polyxenes,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Black swallowtail,Fall,2014 Fall,3,3
Phoebis sennae,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Cloudless sulphur,Fall,2014 Fall,165,155
Phoebis sennae,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Cloudless sulphur,Fall,2015 Fall,7,7
Phoebis sennae,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Cloudless sulphur,Fall,2016 Fall,40,40
Phoebis sennae,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Cloudless sulphur,Spring,2017 Spring,1,1
Phoebis sennae,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Cloudless sulphur,Fall,2017 Fall,6,6
Phoebis sennae,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Cloudless sulphur,Fall,2018 Fall,113,109
Plebejus acmon,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Acmon blue,Spring,2017 Spring,2,2
Pontia protodice,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Checkered white,Fall,2014 Fall,3,3
Pontia protodice,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Checkered white,Spring,2017 Spring,169,169
Pontia protodice,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Checkered white,Fall,2018 Fall,1,1
Pyrgus communis,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Common/white checkered skipper,Fall,2014 Fall,8,8
Pyrgus communis,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Common/white checkered skipper,Fall,2015 Fall,3,3
Pyrgus communis,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Common/white checkered skipper,Spring,2017 Spring,3,3
Pyrgus communis,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Common/white checkered skipper,Fall,2017 Fall,2,2
Pyrgus communis,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Common/white checkered skipper,Fall,2018 Fall,14,13
Strymon istapa,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Mallow scrub-hairstreak,Fall,2014 Fall,1,0
Strymon melinus,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Gray hairstreak,Fall,2014 Fall,1,1
Strymon melinus,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Gray hairstreak,Fall,2015 Fall,3,3
Strymon melinus,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Gray hairstreak,Fall,2016 Fall,4,4
Strymon melinus,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Gray hairstreak,Spring,2017 Spring,8,8
Strymon melinus,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Gray hairstreak,Fall,2017 Fall,2,2
Strymon melinus,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Gray hairstreak,Fall,2018 Fall,38,38
Systasea zampa,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Arizona powdered skipper,Fall,2014 Fall,3,3
Systasea zampa,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Arizona powdered skipper,Fall,2015 Fall,4,4
Systasea zampa,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Arizona powdered skipper,Fall,2018 Fall,1,1
Texola elada,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Elada checkerspot,Spring,2017 Spring,10,10
Vanessa atalanta,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Red admiral,Spring,2017 Spring,1,1
Vanessa cardui,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Painted lady,Fall,2014 Fall,10,10
Vanessa cardui,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Painted lady,Fall,2015 Fall,2,2
Vanessa cardui,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Painted lady,Spring,2017 Spring,49,49
Vanessa cardui,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Painted lady,Fall,2017 Fall,16,16
Zerene cesonia,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Southern dogface,Fall,2014 Fall,26,26
Zerene cesonia,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Southern dogface,Fall,2016 Fall,27,27
Zerene cesonia,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Southern dogface,Spring,2017 Spring,4,4
Zerene cesonia,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Southern dogface,Fall,2017 Fall,1,1
Zerene cesonia,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Southern dogface,Fall,2018 Fall,12,11
