"lat","lon","elev"
34.12873,-116.037732,602
31.499463,-110.703038,1361
33.806736,-118.087342,13
37.269594,-122.269811,122
37.396958,-121.797767,309
34.017471,-118.287601,65
38.677342,-121.070703,243
37.464375,-122.28095,217
34.036017,-117.1848,451
38.7794,-122.707615,514
31.40064,-111.088605,1172
37.874527,-122.238312,276
37.896951,-121.821662,252
33.28675,-111.107522,839
36.429411,-116.387097,666
38.845922,-121.055218,276
35.302886,-106.554189,1537
39.946236,-105.549271,2599
32.488549,-106.922841,1206
34.187711,-117.316345,514
37.424984,-122.230888,90
40.011456,-105.307297,1682
34.054988,-118.512576,129
32.852842,-110.606782,811
34.277721,-118.213492,635
35.606888,-106.117744,1870
32.244022,-111.166169,877
36.320875,-121.578543,1424
34.165528,-118.915542,435
37.977833,-122.58,111
37.449878,-122.39524,166
34.32388,-118.474439,418
32.748078,-117.044211,137
34.41939,-119.664652,0
33.794192,-118.288737,10
40.424858,-105.753424,3620
32.139523,-109.846734,1257
40.014145,-105.310763,1849
38.343878,-122.52923,167
34.047503,-116.566288,865
47.586422,-122.351735,1
38.513539,-121.627568,4
37.998922,-122.655511,379
38.121047,-109.751322,1530
45.081436,-109.479362,2543
38.353997,-122.996313,39
31.61259,-111.045924,983
35.392739,-111.855692,2573
34.195661,-118.175413,342
34.180245,-118.175163,410
38.765896,-120.4905,1221
32.556667,-117.085031,9
36.057332,-112.143029,2087
36.357163,-121.812855,619
39.592353,-121.55179,354
31.402612,-111.086697,1172
38.511567,-122.096826,66
34.16111,-117.8251,412
41.207493,-122.463128,1738
47.255437,-120.91674,755
40.487099,-111.745539,1825
39.845863,-121.702468,434
34.166138,-118.079083,274
38.632635,-121.243563,35
36.145829,-111.93542,2429
37.11884,-122.30908,17
39.128028,-121.619672,16
31.390289,-110.239473,1580
36.076875,-115.002609,487
33.659768,-116.404798,365
31.763756,-110.843252,1335
38.95205,-106.45185,3535
45.964346,-123.682313,738
32.748154,-116.455082,1207
40.8379,-124.067784,5
34.184479,-112.135183,966
33.953768,-119.973528,0
33.068303,-117.06115,105
36.712519,-114.710159,539
34.054883,-118.272628,94
36.821055,-121.736331,0
42.211767,-111.339582,1806
32.840715,-117.04392,84
34.424858,-119.822163,26
36.564461,-105.431328,3396
33.012623,-117.271286,0
39.266284,-117.16095,2307
33.815182,-118.08646,14
45.969547,-121.340475,553
33.736255,-117.692139,481
40.736668,-111.923058,1292
40.088238,-105.171018,1565
34.146356,-118.164323,276
43.800994,-110.685399,2132
38.343909,-122.529202,167
41.771952,-111.751702,1646
36.982676,-122.059818,113
32.268194,-106.828176,1182
45.73676,-104.45875,985
34.04941,-117.284081,331
37.875994,-122.013177,149
38.19035,-120.34308,955
48.468732,-121.055911,1849
34.241903,-117.870504,583
37.526711,-122.319932,119
48.765242,-113.760683,1875
40.604655,-111.69211,2688
38.306738,-123.015752,0
38.464309,-122.571802,517
38.014,-119.141,1948
37.999875,-122.641446,150
37.777896,-122.499963,78
37.340915,-121.643167,1133
37.760183,-122.447435,158
33.970275,-117.934498,377
32.911483,-117.237633,9
38.426687,-123.095073,99
33.904616,-111.832611,1044
32.85672,-105.59867,2244
44.054002,-123.075169,130
38.01258,-122.647161,130
38.445102,-122.81039,17
39.622747,-120.654302,1910
38.543982,-109.28261,2641
32.760645,-105.648909,2573
37.89424,-122.237693,438
32.685005,-117.243385,114
37.201839,-121.704678,196
42.142503,-122.611648,680
35.77105,-120.985943,520
37.867663,-122.254233,115
33.804525,-106.891087,1375
32.956872,-117.064969,137
38.063171,-119.23629,2864
37.29431,-121.799077,80
31.568799,-111.045567,996
41.408165,-122.082236,1689
34.202015,-118.211876,423
37.754407,-122.447684,228
34.1276,-118.209153,182
33.105612,-116.428013,763
42.393671,-123.034377,561
37.958295,-122.360943,6
33.82508,-118.012947,23
38.459045,-123.135323,112
34.521211,-112.386352,1692
39.75684,-105.050781,1636
33.811929,-118.205483,6
36.458439,-121.170913,748
37.98383,-122.603565,269
45.490837,-122.496892,165
32.05875,-110.077531,1617
33.990723,-117.540916,211
38.054608,-122.865231,83
38.06928,-122.806261,25
46.574133,-114.143367,1179
34.125441,-118.209257,182
39.274262,-121.103058,630
40.565103,-111.744983,2441
34.122439,-118.296726,257
34.017053,-118.288139,65
34.03072,-118.779025,75
39.654143,-105.878806,3633
35.321305,-120.83528,23
31.494792,-110.850849,1156
33.014058,-117.252914,2
36.812314,-121.766286,0
34.468903,-119.706787,392
33.092962,-117.299117,41
33.833563,-117.964133,31
35.254724,-120.945006,0
34.125552,-118.210811,182
37.793877,-122.473737,112
37.729951,-119.150753,2934
40.044013,-105.187692,1564
32.754985,-117.248878,0
37.889931,-122.447771,60
32.207255,-110.987518,720
32.828117,-117.069656,198
37.836272,-122.493492,128
33.053153,-117.28018,74
37.779938,-122.472738,57
38.646435,-121.202376,42
36.390901,-116.278127,695
34.215819,-118.148278,581
37.504593,-122.486,0
33.46183,-111.946245,394
37.908533,-121.950774,355
34.017238,-118.286922,65
43.397292,-121.99233,1733
39.356555,-120.364005,2352
34.179108,-118.861748,241
33.461956,-111.944169,394
38.333167,-119.632667,2876
37.754188,-119.797767,1909
37.933401,-122.127414,429
36.459881,-121.909189,296
36.973289,-104.393939,2423
37.919929,-104.955758,2205
37.993283,-122.654495,379
37.201752,-121.865326,132
38.043058,-122.876388,46
35.685467,-118.573883,1900
37.422172,-122.016628,-1
32.06005,-110.07515,1617
33.716734,-118.31523,103
33.780181,-118.332069,117
34.018075,-118.288545,65
37.964848,-119.26922,3083
34.155083,-117.71505,612
33.329564,-118.335638,92
31.406689,-110.314579,2654
32.947223,-105.753422,2650
40.704392,-110.88882,3058
37.481108,-122.15985,0
37.662784,-122.381065,0
34.066355,-118.445085,103
33.782862,-118.348046,138
37.522559,-122.319202,101
37.395835,-122.422414,41
37.403717,-121.794083,311
37.272194,-122.4071,57
37.813852,-122.16615,373
37.944891,-122.757776,257
34.354256,-117.898378,2028
33.817723,-113.340529,1550
37.334887,-122.121457,219
43.347191,-123.434618,273
40.173731,-115.479257,1823
48.062388,-121.481368,1409
34.612806,-111.920881,1007
37.150393,-121.776495,335
36.534606,-121.799942,223
